area;bedrooms;bathrooms;stories;mainroad;guestroom;basement;hotwaterheating;airconditioning;parking;prefarea;furnishingstatus;price
5150;3;2;4;1;0;0;0;1;2;0;1;7,35E+06
6000;3;2;2;1;1;0;0;1;1;0;1;7,35E+06
6000;3;1;2;1;0;0;0;1;1;0;0;7,35E+06
11440;4;1;2;1;0;1;0;0;1;1;1;7,34E+06
9000;4;2;4;1;1;0;0;1;1;1;2;7,25E+06
7680;4;2;4;1;1;0;0;1;1;0;1;7,21E+06
6000;3;2;4;1;1;0;0;1;1;0;2;7,21E+06
6000;3;2;2;1;1;0;0;0;1;0;1;7,14E+06
8880;2;1;1;1;0;0;0;1;1;0;1;7,07E+06
6240;4;2;2;1;0;0;0;1;1;0;2;7,07E+06
6360;4;2;3;1;0;0;0;1;2;1;2;7,04E+06
11175;3;1;1;1;0;1;0;1;1;1;2;7,00E+06
8880;3;2;2;1;0;1;0;1;1;0;2;6,93E+06
13200;2;1;1;1;0;1;1;0;1;0;2;6,93E+06
7700;3;2;1;1;0;0;0;0;2;0;0;6,90E+06
6000;3;1;1;1;0;0;0;1;1;0;2;6,86E+06
12090;4;2;2;1;0;0;0;0;2;1;2;6,79E+06
4000;3;2;2;1;0;1;0;1;0;1;1;6,79E+06
6000;4;2;4;1;0;0;0;1;0;0;0;6,76E+06
5020;3;1;4;1;0;0;0;1;0;1;0;6,72E+06
6600;2;2;4;1;0;1;0;0;0;1;2;6,69E+06
4040;3;1;2;1;0;1;1;0;1;0;2;6,65E+06
4260;4;2;2;1;0;0;1;0;0;0;1;6,65E+06
6420;3;2;3;1;0;0;0;1;0;1;2;6,65E+06
6500;3;2;3;1;0;0;0;1;0;1;2;6,65E+06
5700;3;1;1;1;1;1;0;1;2;1;2;6,65E+06
6000;3;2;3;1;1;0;0;1;0;0;2;6,65E+06
6000;3;1;2;1;0;0;1;0;1;1;1;6,63E+06
4000;3;2;2;1;0;1;0;1;1;0;1;6,62E+06
10500;3;2;1;1;0;1;0;1;1;1;2;6,62E+06
6000;3;2;4;1;0;0;0;1;0;0;1;6,58E+06
3760;3;1;2;1;0;0;1;0;2;0;1;6,51E+06
8250;3;2;3;1;0;0;0;1;0;0;2;6,51E+06
6670;3;1;3;1;0;1;0;0;0;1;0;6,51E+06
3960;3;1;1;1;0;1;0;0;2;0;1;6,48E+06
7410;3;1;1;1;1;1;0;1;2;1;0;6,48E+06
8580;5;3;2;1;0;0;0;0;2;0;2;6,44E+06
5000;3;1;2;1;0;0;0;1;0;0;1;6,44E+06
6750;2;1;1;1;1;1;0;0;2;1;2;6,42E+06
4800;3;2;4;1;1;0;0;1;0;0;2;6,41E+06
7200;3;2;1;1;0;1;0;1;3;0;1;6,30E+06
6000;4;2;4;1;0;0;0;0;1;0;1;6,30E+06
4100;3;2;3;1;0;0;0;1;2;0;1;6,30E+06
9000;3;1;1;1;0;1;0;0;1;1;2;6,30E+06
6400;3;1;1;1;1;1;0;1;1;1;1;6,30E+06
6600;3;2;3;1;0;0;0;1;0;1;0;6,29E+06
6000;4;1;3;1;1;1;0;0;0;1;0;6,27E+06
6600;3;2;1;1;0;1;0;1;0;1;0;6,23E+06
5500;3;1;3;1;0;0;0;0;1;1;0;6,23E+06
5500;3;2;4;1;1;0;0;1;1;0;1;6,20E+06
6350;3;2;3;1;1;0;0;1;0;0;2;6,20E+06
5500;3;2;1;1;1;1;0;0;2;1;2;6,20E+06
4500;3;1;4;1;0;0;0;1;0;0;0;6,16E+06
5450;4;2;1;1;0;1;0;1;0;1;1;6,16E+06
6420;3;1;3;1;0;1;0;0;0;1;0;6,13E+06
3240;4;1;3;1;0;0;0;0;1;0;1;6,11E+06
6615;4;2;2;1;1;0;1;0;1;0;1;6,09E+06
6600;3;1;1;1;1;1;0;0;2;1;1;6,09E+06
8372;3;1;3;1;0;0;0;1;2;0;0;6,09E+06
4300;6;2;2;1;0;0;0;0;0;0;2;6,08E+06
9620;3;1;1;1;0;1;0;0;2;1;2;6,08E+06
6800;2;1;1;1;1;1;0;0;2;0;2;6,02E+06
8000;3;1;1;1;1;1;0;1;2;1;1;6,02E+06
6900;3;2;1;1;1;1;0;0;0;1;0;6,02E+06
3700;4;1;2;1;1;0;0;1;0;0;2;5,95E+06
6420;3;1;1;1;0;1;0;1;0;1;2;5,95E+06
7020;3;1;1;1;0;1;0;1;2;1;1;5,95E+06
6540;3;1;1;1;1;1;0;0;2;1;2;5,95E+06
7231;3;1;2;1;1;1;0;1;0;1;1;5,95E+06
6254;4;2;1;1;0;1;0;0;1;1;1;5,95E+06
7320;4;2;2;1;0;0;0;0;0;0;2;5,95E+06
6525;3;2;4;1;0;0;0;0;1;0;2;5,95E+06
15600;3;1;1;1;0;0;0;1;2;0;1;5,94E+06
7160;3;1;1;1;0;1;0;0;2;1;0;5,88E+06
6500;3;2;3;1;0;0;0;1;0;0;0;5,88E+06
5500;3;1;3;1;1;0;0;1;1;0;2;5,87E+06
11460;3;1;3;1;0;0;0;0;2;1;1;5,87E+06
4800;3;1;1;1;1;1;0;0;0;0;0;5,87E+06
5828;4;1;4;1;1;0;0;0;0;0;1;5,81E+06
5200;3;1;3;1;0;0;0;1;0;0;1;5,81E+06
4800;3;1;3;1;0;0;0;1;0;0;0;5,81E+06
7000;3;1;1;1;0;1;0;0;2;1;1;5,80E+06
6000;3;2;4;1;0;0;0;1;0;0;0;5,78E+06
5400;4;2;2;1;0;0;0;1;2;0;0;5,74E+06
4640;4;1;2;1;0;0;0;0;1;0;1;5,74E+06
5000;3;1;3;1;0;0;0;1;0;0;1;5,74E+06
6360;3;1;1;1;1;1;0;1;2;1;2;5,74E+06
5800;3;2;4;1;0;0;0;1;0;0;0;5,74E+06
6660;4;2;2;1;1;1;0;0;1;1;1;5,65E+06
10500;4;2;2;1;0;0;0;0;1;0;1;5,60E+06
4800;5;2;3;0;0;1;1;0;0;0;0;5,60E+06
4700;4;1;2;1;1;1;0;1;1;0;2;5,60E+06
5000;3;1;4;1;0;0;0;0;0;0;2;5,60E+06
10500;2;1;1;1;0;0;0;0;1;0;1;5,60E+06
5500;3;2;2;1;0;0;0;0;1;0;1;5,60E+06
6360;3;1;3;1;0;0;0;0;0;1;1;5,60E+06
6600;4;2;1;1;0;1;0;0;0;1;1;5,60E+06
5136;3;1;2;1;1;1;0;1;0;1;0;5,60E+06
4400;4;1;2;1;0;0;0;1;2;1;1;5,57E+06
5400;5;1;2;1;1;1;0;1;0;1;2;5,57E+06
3300;3;3;2;1;0;1;0;0;0;0;1;5,53E+06
3650;3;2;2;1;0;0;0;0;2;0;1;5,53E+06
6100;3;2;1;1;0;1;0;0;2;1;2;5,53E+06
6900;3;1;1;1;1;1;0;0;0;1;1;5,52E+06
2817;4;2;2;0;1;1;0;0;1;0;2;5,50E+06
7980;3;1;1;1;0;0;0;0;2;0;1;5,50E+06
3150;3;2;1;1;1;1;0;1;0;0;2;5,46E+06
6210;4;1;4;1;1;0;0;1;0;0;2;5,46E+06
6100;3;1;3;1;1;0;0;1;0;1;1;5,46E+06
6600;4;2;2;1;1;1;0;0;0;1;1;5,46E+06
6825;3;1;1;1;1;1;0;1;0;1;1;5,43E+06
6710;3;2;2;1;1;1;0;0;1;1;2;5,39E+06
6450;3;2;1;1;1;1;1;0;0;0;0;5,38E+06
7800;3;1;1;1;0;1;0;1;2;1;0;5,32E+06
4600;2;2;1;1;0;0;0;1;2;0;1;5,29E+06
4260;4;1;2;1;0;1;0;1;0;0;2;5,25E+06
6540;4;2;2;0;0;0;0;1;0;0;1;5,25E+06
5500;3;2;1;1;0;1;0;0;0;0;1;5,25E+06
10269;3;1;1;1;0;0;0;0;1;1;1;5,25E+06
8400;3;1;2;1;1;1;0;1;2;1;0;5,25E+06
5300;4;2;1;1;0;0;0;1;0;1;0;5,25E+06
3800;3;1;2;1;1;1;0;0;1;1;0;5,25E+06
9800;4;2;2;1;1;0;0;0;2;0;1;5,25E+06
8520;3;1;1;1;0;0;0;1;2;0;2;5,25E+06
6050;3;1;1;1;0;1;0;0;0;1;1;5,24E+06
7085;3;1;1;1;1;1;0;0;2;1;1;5,23E+06
3180;3;2;2;1;0;0;0;0;2;0;1;5,22E+06
4500;4;2;1;0;0;1;0;1;2;0;1;5,22E+06
7200;3;1;2;1;1;1;0;0;1;1;2;5,22E+06
3410;3;1;2;0;0;0;0;1;0;0;1;5,15E+06
7980;3;1;1;1;0;0;0;0;1;1;1;5,15E+06
3000;3;2;2;1;1;1;0;0;0;0;2;5,11E+06
3000;3;1;2;1;0;1;0;0;0;0;0;5,11E+06
11410;2;1;2;1;0;0;0;0;0;1;2;5,11E+06
6100;3;1;1;1;0;1;0;1;0;1;1;5,11E+06
5720;2;1;2;1;0;0;0;1;0;1;0;5,08E+06
3540;2;1;1;0;1;1;0;0;0;0;1;5,04E+06
7600;4;1;2;1;0;0;0;1;2;0;2;5,04E+06
10700;3;1;2;1;1;1;0;0;0;0;1;5,04E+06
6600;3;1;1;1;1;1;0;0;0;1;2;5,04E+06
4800;2;1;1;1;1;1;0;0;0;0;1;5,03E+06
8150;3;2;1;1;1;1;0;0;0;0;1;5,01E+06
4410;4;3;2;1;0;1;0;0;2;0;1;4,97E+06
7686;3;1;1;1;1;1;1;0;0;0;1;4,97E+06
2800;3;2;2;0;0;1;0;1;1;0;1;4,96E+06
5948;3;1;2;1;0;0;0;1;0;0;1;4,94E+06
4200;3;1;2;1;0;0;0;0;1;0;2;4,91E+06
4520;3;1;2;1;0;1;0;1;0;0;1;4,90E+06
4095;3;1;2;0;1;1;0;1;0;0;1;4,90E+06
4120;2;1;1;1;0;1;0;0;1;0;1;4,90E+06
5400;4;1;2;1;0;0;0;0;0;0;1;4,90E+06
4770;3;1;1;1;1;1;0;0;0;0;1;4,90E+06
6300;3;1;1;1;0;0;0;1;2;0;1;4,90E+06
5800;2;1;1;1;1;1;0;1;0;0;1;4,90E+06
3000;3;1;2;1;0;1;0;1;0;0;1;4,90E+06
2970;3;1;3;1;0;0;0;0;0;0;1;4,90E+06
6720;3;1;1;1;0;0;0;0;0;0;0;4,90E+06
4646;3;1;2;1;1;1;0;0;2;0;1;4,90E+06
12900;3;1;1;1;0;0;0;0;2;0;2;4,90E+06
3420;4;2;2;1;0;1;0;1;2;0;1;4,89E+06
4995;4;2;1;1;0;1;0;0;0;0;1;4,89E+06
4350;2;1;1;1;0;1;0;0;0;0;0;4,87E+06
4160;3;1;3;1;0;0;0;0;0;0;0;4,83E+06
6040;3;1;1;1;0;0;0;0;2;1;1;4,83E+06
6862;3;1;2;1;0;0;0;1;2;1;2;4,83E+06
4815;2;1;1;1;0;0;0;1;0;1;1;4,83E+06
7000;3;1;2;1;0;1;0;0;0;0;0;4,80E+06
8100;4;1;4;1;0;1;0;1;2;0;1;4,80E+06
3420;4;2;2;1;0;0;0;0;0;0;1;4,77E+06
9166;2;1;1;1;0;1;0;1;2;0;1;4,76E+06
6321;3;1;2;1;0;1;0;1;1;0;2;4,76E+06
10240;2;1;1;1;0;0;0;1;2;1;0;4,76E+06
6440;2;1;1;1;0;0;0;1;3;0;1;4,75E+06
5170;3;1;4;1;0;0;0;1;0;0;1;4,69E+06
6000;2;1;1;1;0;1;0;1;1;0;2;4,69E+06
3630;3;1;2;1;0;0;0;0;2;0;1;4,69E+06
9667;4;2;2;1;1;1;0;0;1;0;1;4,69E+06
5400;2;1;2;1;0;0;0;0;0;1;1;4,69E+06
4320;3;1;1;1;0;0;0;0;0;1;1;4,69E+06
3745;3;1;2;1;0;1;0;0;0;0;2;4,66E+06
4160;3;1;1;1;1;1;0;1;0;0;0;4,62E+06
3880;3;2;2;1;0;1;0;0;2;0;1;4,62E+06
5680;3;1;2;1;1;0;0;1;1;0;1;4,62E+06
2870;2;1;2;1;1;1;0;0;0;1;1;4,62E+06
5010;3;1;2;1;0;1;0;0;0;0;1;4,62E+06
4510;4;2;2;1;0;1;0;0;0;0;1;4,61E+06
4000;3;1;2;1;0;0;0;0;1;0;2;4,59E+06
3840;3;1;2;1;0;0;0;0;1;1;1;4,59E+06
3760;3;1;1;1;0;0;0;0;2;0;1;4,55E+06
3640;3;1;2;1;0;0;0;1;0;0;2;4,55E+06
2550;3;1;2;1;0;1;0;0;0;0;2;4,55E+06
5320;3;1;2;1;1;1;0;0;0;1;1;4,55E+06
5360;3;1;2;1;0;0;0;0;2;1;0;4,55E+06
3520;3;1;1;1;0;0;0;0;0;1;1;4,55E+06
8400;4;1;4;1;0;0;0;0;3;0;0;4,55E+06
4100;2;2;1;1;1;1;0;0;0;0;1;4,54E+06
4990;4;2;2;1;1;1;0;0;0;1;2;4,54E+06
3510;3;1;3;1;0;0;0;0;0;0;1;4,52E+06
3450;3;1;2;1;0;1;0;0;1;0;1;4,52E+06
9860;3;1;1;1;0;0;0;0;0;0;1;4,52E+06
3520;2;1;2;1;0;0;0;0;0;1;2;4,52E+06
4510;4;1;2;1;0;0;0;1;2;0;1;4,48E+06
5885;2;1;1;1;0;0;0;1;1;0;0;4,48E+06
4000;3;1;2;1;0;0;0;0;2;0;2;4,48E+06
8250;3;1;1;1;0;0;0;0;0;0;2;4,48E+06
4040;3;1;2;1;0;0;0;0;1;0;1;4,48E+06
6360;2;1;1;1;0;1;0;1;1;0;2;4,47E+06
3162;3;1;2;1;0;0;0;1;1;0;2;4,47E+06
3510;3;1;2;1;0;0;0;0;0;0;1;4,47E+06
3750;2;1;1;1;1;1;0;0;0;0;1;4,45E+06
3968;3;1;2;0;0;0;0;0;0;0;1;4,41E+06
4900;2;1;2;1;0;1;0;0;0;0;1;4,41E+06
2880;3;1;2;1;0;0;0;0;0;1;1;4,40E+06
4880;3;1;1;1;0;0;0;0;2;1;0;4,40E+06
4920;3;1;2;1;0;0;0;0;1;0;1;4,40E+06
4950;4;1;2;1;0;0;0;1;0;0;1;4,38E+06
3900;3;1;2;1;0;0;0;0;0;0;0;4,38E+06
4500;3;2;3;1;0;0;1;0;1;0;2;4,34E+06
1905;5;1;2;0;0;1;0;0;0;0;1;4,34E+06
4075;3;1;1;1;1;1;0;0;2;0;1;4,34E+06
3500;4;1;2;1;0;0;0;0;2;0;2;4,34E+06
6450;4;1;2;1;0;0;0;0;0;0;1;4,34E+06
4032;2;1;1;1;0;1;0;0;0;0;2;4,32E+06
4400;2;1;1;1;0;0;0;0;1;0;1;4,31E+06
10360;2;1;1;1;0;0;0;0;1;1;1;4,31E+06
3400;3;1;2;1;0;1;0;0;2;1;1;4,28E+06
6360;2;1;1;1;0;0;0;0;0;0;2;4,27E+06
6360;2;1;2;1;0;0;0;0;0;0;0;4,27E+06
4500;2;1;1;1;0;0;0;1;2;0;2;4,27E+06
2175;3;1;2;0;1;1;0;1;0;0;0;4,27E+06
4360;4;1;2;1;0;0;0;0;0;0;2;4,27E+06
7770;2;1;1;1;0;0;0;0;1;0;2;4,27E+06
6650;3;1;2;1;1;0;0;0;0;0;1;4,24E+06
2787;3;1;1;1;0;1;0;0;0;1;2;4,24E+06
5500;3;1;2;1;0;0;0;1;0;0;0;4,20E+06
5040;3;1;2;1;0;1;0;1;0;0;0;4,20E+06
5850;2;1;1;1;1;1;0;0;2;0;1;4,20E+06
2610;4;3;2;0;0;0;0;0;0;0;1;4,20E+06
2953;3;1;2;1;0;1;0;1;0;0;0;4,20E+06
2747;4;2;2;0;0;0;0;0;0;0;1;4,20E+06
4410;2;1;1;0;0;0;0;0;1;0;0;4,20E+06
4000;4;2;2;0;0;0;0;0;0;0;1;4,20E+06
2325;3;1;2;0;0;0;0;0;0;0;1;4,20E+06
4600;3;2;2;1;0;0;0;1;1;0;1;4,20E+06
3640;3;2;2;1;0;1;0;0;0;0;0;4,20E+06
5800;3;1;1;1;0;0;1;0;2;0;1;4,20E+06
7000;3;1;1;1;0;0;0;0;3;0;2;4,20E+06
4079;3;1;3;1;0;0;0;0;0;0;1;4,20E+06
3520;3;1;2;1;0;0;0;0;0;1;1;4,20E+06
2145;3;1;3;1;0;0;0;0;1;1;0;4,20E+06
4500;3;1;1;1;0;1;0;0;0;0;2;4,20E+06
8250;3;1;1;1;0;1;0;0;3;0;1;4,19E+06
3450;3;1;2;1;0;0;0;0;1;0;1;4,19E+06
4840;3;1;2;1;0;0;0;0;1;0;1;4,17E+06
4080;3;1;2;1;0;0;0;0;2;0;1;4,17E+06
4046;3;1;2;1;0;1;0;0;1;0;1;4,17E+06
4632;4;1;2;1;0;0;0;1;0;0;1;4,13E+06
5985;3;1;1;1;0;1;0;0;0;0;1;4,13E+06
6060;2;1;1;1;0;1;0;0;1;0;1;4,12E+06
3600;3;1;1;1;0;1;0;1;0;1;2;4,10E+06
3680;3;2;2;1;0;0;0;0;0;0;1;4,10E+06
4040;2;1;2;1;0;0;0;0;1;0;1;4,10E+06
5600;2;1;1;1;0;0;0;1;0;0;1;4,10E+06
5900;4;2;2;0;0;1;0;0;1;0;0;4,06E+06
4992;3;2;2;1;0;0;0;0;2;0;0;4,06E+06
4340;3;1;1;1;0;0;0;0;0;0;1;4,06E+06
3000;4;1;3;1;0;1;0;1;2;0;1;4,06E+06
4320;3;1;2;1;0;0;0;0;2;1;2;4,06E+06
3630;3;2;2;1;0;0;1;0;2;0;1;4,03E+06
3460;3;2;1;1;0;1;0;1;1;0;2;4,03E+06
5400;3;1;1;1;0;0;0;0;3;0;1;4,03E+06
4500;3;1;2;0;0;1;0;1;0;0;1;4,01E+06
3460;4;1;2;1;0;0;0;1;0;0;1;4,01E+06
4100;4;1;1;0;0;1;0;0;0;0;0;3,99E+06
6480;3;1;2;0;0;0;0;1;1;0;1;3,99E+06
4500;3;2;2;0;0;1;0;1;0;0;1;3,99E+06
3960;3;1;2;1;0;0;0;0;0;0;2;3,99E+06
4050;2;1;2;1;1;1;0;0;0;1;0;3,99E+06
7260;3;2;1;1;1;1;0;0;3;0;2;3,92E+06
5500;4;1;2;1;1;1;0;0;0;0;1;3,92E+06
3000;3;1;2;1;0;0;0;0;0;0;1;3,92E+06
3290;2;1;1;1;0;0;1;0;1;0;2;3,92E+06
3816;2;1;1;1;0;1;0;1;2;0;2;3,92E+06
8080;3;1;1;1;0;0;0;1;2;0;1;3,92E+06
2145;4;2;1;1;0;1;0;0;0;1;0;3,92E+06
3780;2;1;2;1;1;1;0;0;0;0;1;3,89E+06
3180;4;2;2;1;0;0;0;0;0;0;2;3,89E+06
5300;5;2;2;1;0;0;0;0;0;0;1;3,85E+06
3180;2;2;1;1;0;1;0;0;2;0;1;3,85E+06
7152;3;1;2;1;0;0;0;1;0;0;2;3,85E+06
4080;2;1;1;1;0;0;0;0;0;0;1;3,85E+06
3850;2;1;1;1;0;0;0;0;0;0;1;3,85E+06
2015;3;1;2;1;0;1;0;0;0;1;1;3,85E+06
2176;2;1;2;1;1;0;0;0;0;1;1;3,85E+06
3350;3;1;2;1;0;0;0;0;0;0;0;3,84E+06
3150;2;2;1;0;0;1;0;0;0;0;1;3,82E+06
4820;3;1;2;1;0;0;0;0;0;0;1;3,78E+06
3420;2;1;2;1;0;0;1;0;1;0;1;3,78E+06
3600;2;1;1;1;0;0;0;0;0;0;1;3,78E+06
5830;2;1;1;1;0;0;0;0;2;0;0;3,78E+06
2856;3;1;3;1;0;0;0;0;0;1;2;3,78E+06
8400;2;1;1;1;0;0;0;0;1;0;2;3,78E+06
8250;3;1;1;1;0;0;0;0;2;0;2;3,77E+06
2520;5;2;1;0;0;1;0;1;1;0;2;3,77E+06
6930;4;1;2;0;0;0;0;0;1;0;2;3,77E+06
3480;2;1;1;1;0;0;0;0;0;1;1;3,75E+06
3600;3;1;1;1;0;0;0;0;1;0;0;3,71E+06
4040;2;1;1;1;0;0;0;0;0;0;1;3,71E+06
6020;3;1;1;1;0;0;0;0;0;0;1;3,71E+06
4050;2;1;1;1;0;0;0;0;0;0;2;3,71E+06
3584;2;1;1;1;0;0;1;0;0;0;1;3,71E+06
3120;3;1;2;0;0;1;1;0;0;0;1;3,70E+06
5450;2;1;1;1;0;0;0;0;0;0;2;3,70E+06
3630;2;1;1;1;0;1;0;0;0;0;2;3,68E+06
3630;2;1;1;1;0;0;0;1;0;0;0;3,68E+06
5640;2;1;1;0;0;0;0;0;0;0;1;3,68E+06
3600;2;1;1;1;0;0;0;0;0;0;2;3,68E+06
4280;2;1;1;1;0;0;0;1;2;0;1;3,64E+06
3570;3;1;2;1;0;1;0;0;0;0;1;3,64E+06
3180;3;1;2;0;0;1;0;0;0;0;1;3,64E+06
3000;2;1;2;1;0;0;0;1;0;0;2;3,64E+06
3520;2;2;1;1;0;1;0;0;0;0;1;3,64E+06
5960;3;1;2;1;1;1;0;0;0;0;0;3,64E+06
4130;3;2;2;1;0;0;0;0;2;0;1;3,64E+06
2850;3;2;2;0;0;1;0;0;0;1;0;3,64E+06
2275;3;1;3;1;0;0;1;1;0;1;1;3,64E+06
3520;3;1;1;1;0;0;0;0;2;1;0;3,63E+06
4500;2;1;1;1;0;0;0;0;0;0;1;3,61E+06
4000;2;1;1;1;0;0;0;0;0;1;1;3,61E+06
3150;3;1;2;1;0;1;0;0;0;0;2;3,57E+06
4500;4;2;2;1;0;1;0;0;2;0;2;3,57E+06
4500;2;1;1;0;0;0;0;0;0;0;2;3,57E+06
3640;2;1;1;1;0;0;0;0;0;0;0;3,57E+06
3850;3;1;1;1;0;0;0;0;2;0;0;3,54E+06
4240;3;1;2;1;0;0;0;1;0;0;1;3,50E+06
3650;3;1;2;1;0;0;0;0;0;0;0;3,50E+06
4600;4;1;2;1;0;0;0;0;0;0;1;3,50E+06
2135;3;2;2;0;0;0;0;0;0;0;0;3,50E+06
3036;3;1;2;1;0;1;0;0;0;0;1;3,50E+06
3990;3;1;2;1;0;0;0;0;0;0;1;3,50E+06
7424;3;1;1;0;0;0;0;0;0;0;0;3,50E+06
3480;3;1;1;0;0;0;0;1;0;0;0;3,50E+06
3600;6;1;2;1;0;0;0;0;1;0;0;3,50E+06
3640;2;1;1;1;0;0;0;0;1;0;1;3,50E+06
5900;2;1;1;1;0;0;0;0;1;0;2;3,50E+06
3120;3;1;2;1;0;0;0;0;1;0;0;3,50E+06
7350;2;1;1;1;0;0;0;0;1;0;1;3,50E+06
3512;2;1;1;1;0;0;0;0;1;1;0;3,50E+06
9500;3;1;2;1;0;0;0;0;3;1;0;3,50E+06
5880;2;1;1;1;0;0;0;0;0;0;0;3,50E+06
12944;3;1;1;1;0;0;0;0;0;0;0;3,50E+06
4900;3;1;2;0;0;0;0;0;0;0;0;3,49E+06
3060;3;1;1;1;0;0;0;0;0;0;0;3,47E+06
5320;2;1;1;1;0;0;0;0;1;1;0;3,47E+06
2145;3;1;3;1;0;0;0;0;0;1;2;3,47E+06
4000;2;1;1;1;0;0;0;0;0;0;0;3,43E+06
3185;2;1;1;1;0;0;0;0;2;0;0;3,43E+06
3850;3;1;1;1;0;0;0;0;0;0;0;3,43E+06
2145;3;1;3;1;0;0;0;0;0;1;2;3,43E+06
2610;3;1;2;1;0;1;0;0;0;1;0;3,43E+06
1950;3;2;2;1;0;1;0;0;0;1;0;3,43E+06
4040;2;1;1;1;0;0;0;0;0;0;0;3,42E+06
4785;3;1;2;1;1;1;0;1;1;0;2;3,40E+06
3450;3;1;1;1;0;1;0;0;2;0;0;3,40E+06
3640;2;1;1;1;0;0;0;0;0;0;2;3,40E+06
3500;4;1;2;1;0;0;0;1;2;0;0;3,36E+06
4960;4;1;3;0;0;0;0;0;0;0;1;3,36E+06
4120;2;1;2;1;0;0;0;0;0;0;0;3,36E+06
4750;2;1;1;1;0;0;0;0;0;0;0;3,36E+06
3720;2;1;1;0;0;0;0;1;0;0;0;3,36E+06
3750;3;1;1;1;0;0;0;0;0;0;0;3,36E+06
3100;3;1;2;0;0;1;0;0;0;0;1;3,36E+06
3185;2;1;1;1;0;1;0;0;2;0;2;3,36E+06
2700;3;1;1;0;0;0;0;0;0;0;2;3,35E+06
2145;3;1;2;1;0;1;0;0;0;1;2;3,33E+06
4040;2;1;1;1;0;0;0;0;1;0;0;3,33E+06
4775;4;1;2;1;0;0;0;0;0;0;0;3,33E+06
2500;2;1;1;0;0;0;0;1;0;0;0;3,29E+06
3180;4;1;2;1;0;1;0;1;0;0;0;3,29E+06
6060;3;1;1;1;1;1;0;0;0;0;2;3,29E+06
